#{"t_start": 1720693212.6348329, "env_id": "Humanoid-v4"}
r,l,t
546.221683,116,8671.792374
405.177366,90,8674.557887
916.451735,177,8679.96294
467.099541,105,8683.159835
611.682603,115,8686.82855
583.413462,110,8690.287434
482.705223,93,8693.172025
957.775241,181,8699.312449
503.69813,102,8702.906436
485.771988,101,8706.388104
1504.071097,292,8716.481462
632.887025,140,8721.506567
585.787345,127,8726.043471
511.268181,97,8729.454098
664.985106,127,8733.569518
703.546331,132,8737.635376
1162.424745,222,8744.389569
814.92755,182,8750.077738
810.728192,153,8754.941521
803.132171,152,8759.590318
892.050021,171,8764.767982
1146.039666,218,8771.529693
931.665083,179,8777.010976
1908.901604,373,8788.47447
718.331649,146,8792.889341
673.27898,131,8796.840617
571.4519,127,8800.739715
575.320271,125,8804.707805
515.976997,102,8807.897728
559.6961,125,8811.887568
352.943495,80,8814.363115
958.890706,202,8820.575519
464.644559,105,8823.757915
554.240001,123,8827.50153
676.855776,130,8831.462206
1394.15157,276,8841.190089
645.60771,142,8846.205545
1145.039362,224,8853.418287
1644.534614,345,8863.879537
575.553848,132,8867.965251
460.005207,89,8870.732411
602.680382,129,8874.69396
866.910849,160,8879.983866
624.752163,118,8883.709473
406.794233,92,8886.50911
486.59654,107,8889.947661
529.885028,118,8893.558463
727.846461,141,8897.992924
653.59036,140,8902.378791
557.237416,123,8906.397775
664.21821,126,8910.285029
360.686879,69,8912.401119
1106.316934,212,8918.962041
632.37656,118,8922.583695
531.653062,104,8925.76229
821.297254,157,8930.71523
620.239993,127,8934.685194
648.20079,119,8938.362932
701.323376,133,8942.567594
1287.135441,257,8950.510113
1029.075456,196,8956.930864
634.478905,117,8960.590081
1013.92097,200,8966.940499
640.01975,135,8971.105035
823.099691,157,8976.062173
684.192752,150,8980.948037
1257.186272,250,8988.690281
588.355337,113,8992.234381
600.939987,110,8995.643537
915.366819,187,9001.514497
